"","stock","Open","High","Low","Close","Volume","Adjusted","BBand_pctB","RSI","PPO","ATR","mySignal","stopPct","buysell"
"2","PAYX","55.610001","55.650002","55.189999","55.310001","1342000","55.310001","0.821573047556295","62.5922883366085","-0.00584817481299327","0.385365334434024","58.7417712206819","1.3934743354426","SELL"
"21","USO","11.99","12.04","11.58","11.74","25829700","11.74","0.372165734673769","51.2814365051562","-0.536701648972235","0.168481242460723","48.8826103728557","2.87020855980788","-"
"3","SPY","208.649994","209.5","207.929993","208.100006","92772800","208.100006","0.391176259849233","52.1636611648402","-0.120902317284597","0.932782585936923","49.4510761849305","0.896475309027067","-"
"4","UUP","24.25","24.309999","24.190001","24.26","1528800","24.26","0.194025329804374","41.9649904677908","-0.0955702802787318","0.0771373712979923","43.1621880479762","0.635922269563003","-"
"5","TLT","133.5","133.990005","133.25","133.759995","5630200","133.759995","0.58256708165705","55.0579045006747","-0.0564341322212953","0.632302600745049","52.9288027084662","0.945428565162624","-"
"6","QQQ","107.559998","108.190002","107.150002","107.239998","22589200","107.239998","0.186437103456922","45.02241447791","-0.269334077617159","0.576520997848696","44.2138692224278","1.07519770347011","-"
"7","GLD","120.830002","121.25","120.68","120.900002","7806900","120.900002","0.590873157559402","50.9529207797437","0.126686202357668","0.827002352081238","51.4932597618964","1.36807665574933","-"
