"","CorV","minInvoiceDate","Orders","COGS","minInvioceDate"
"157","V",2014-01-03,139,93.453453,2014-01-03
"158","V",2014-01-04,24,89.583333,2014-01-04
"159","V",2014-01-05,3,65,2014-01-05
"160","V",2014-01-06,187,88.989358,2014-01-06
"161","V",2014-01-07,148,94.615067,2014-01-07
"162","V",2014-01-08,183,87.617595,2014-01-08
"163","V",2014-01-09,205,91.263658,2014-01-09
"164","V",2014-01-10,224,85.652008,2014-01-10
"165","V",2014-01-11,56,82.321428,2014-01-11
"166","V",2014-01-12,14,75,2014-01-12
"167","V",2014-01-13,296,84.050777,2014-01-13
"168","V",2014-01-14,224,90.192142,2014-01-14
"169","V",2014-01-15,276,96.242826,2014-01-15
"170","V",2014-01-16,242,89.56409,2014-01-16
"171","V",2014-01-17,296,87.829493,2014-01-17
"172","V",2014-01-18,63,78.079365,2014-01-18
"173","V",2014-01-19,11,69.545454,2014-01-19
"174","V",2014-01-20,292,89.393972,2014-01-20
"175","V",2014-01-21,194,85.252886,2014-01-21
"176","V",2014-01-22,227,90.396696,2014-01-22
"177","V",2014-01-23,272,95.783198,2014-01-23
"178","V",2014-01-24,282,91.333546,2014-01-24
"179","V",2014-01-25,77,85.350649,2014-01-25
"180","V",2014-01-26,14,72.285714,2014-01-26
"181","V",2014-01-27,422,93.577109,2014-01-27
"182","V",2014-01-28,376,94.114441,2014-01-28
"183","V",2014-01-29,208,94.562644,2014-01-29
"184","V",2014-01-30,170,93.000058,2014-01-30
"185","V",2014-01-31,172,90.604883,2014-01-31
"186","V",2014-02-01,29,82.034827,2014-02-01
"187","V",2014-02-02,8,73.125,2014-02-02
"188","V",2014-02-03,201,99.666815,2014-02-03
"189","V",2014-02-04,142,92.169014,2014-02-04
"190","V",2014-02-05,175,88.211714,2014-02-05
"191","V",2014-02-06,161,94.701987,2014-02-06
"192","V",2014-02-07,168,92.000238,2014-02-07
"193","V",2014-02-08,33,88.636363,2014-02-08
"194","V",2014-02-09,5,89.4,2014-02-09
"195","V",2014-02-10,239,86.18,2014-02-10
"196","V",2014-02-11,181,103.29558,2014-02-11
"197","V",2014-02-12,171,92.15807,2014-02-12
"198","V",2014-02-13,207,99.009758,2014-02-13
"199","V",2014-02-14,177,89.38435,2014-02-14
"200","V",2014-02-15,47,80.170212,2014-02-15
"201","V",2014-02-16,13,70.76923,2014-02-16
"202","V",2014-02-17,233,95.055879,2014-02-17
"203","V",2014-02-18,160,94.197,2014-02-18
"204","V",2014-02-19,174,87.310632,2014-02-19
"205","V",2014-02-20,197,103.918832,2014-02-20
"206","V",2014-02-21,235,93.255446,2014-02-21
"207","V",2014-02-22,90,81.711111,2014-02-22
"208","V",2014-02-23,19,78.105263,2014-02-23
"209","V",2014-02-24,420,90.532309,2014-02-24
"210","V",2014-02-25,316,97.10155,2014-02-25
"211","V",2014-02-26,165,87.800121,2014-02-26
"212","V",2014-02-27,121,92.702644,2014-02-27
"213","V",2014-02-28,175,89.063257,2014-02-28
"214","V",2014-03-01,31,89.774193,2014-03-01
"215","V",2014-03-02,6,86.666666,2014-03-02
"216","V",2014-03-03,188,92.920425,2014-03-03
"217","V",2014-03-04,159,92.578805,2014-03-04
"218","V",2014-03-05,145,86.214,2014-03-05
"219","V",2014-03-06,139,92.928561,2014-03-06
"220","V",2014-03-07,175,94.485828,2014-03-07
"221","V",2014-03-08,47,79.957446,2014-03-08
"222","V",2014-03-09,10,56.202,2014-03-09
"223","V",2014-03-10,239,87.03774,2014-03-10
"224","V",2014-03-11,187,92.48155,2014-03-11
"225","V",2014-03-12,168,90.39619,2014-03-12
"226","V",2014-03-13,187,87.620748,2014-03-13
"227","V",2014-03-14,209,93.677081,2014-03-14
"228","V",2014-03-15,45,87.977777,2014-03-15
"229","V",2014-03-16,11,93.90909,2014-03-16
"230","V",2014-03-17,260,96.965461,2014-03-17
"231","V",2014-03-18,191,100.42157,2014-03-18
"232","V",2014-03-19,198,93.42702,2014-03-19
"233","V",2014-03-20,203,91.512364,2014-03-20
"234","V",2014-03-21,237,88.569873,2014-03-21
"235","V",2014-03-22,70,86.071428,2014-03-22
"236","V",2014-03-23,8,77.5,2014-03-23
"237","V",2014-03-24,257,93.877587,2014-03-24
"238","V",2014-03-25,249,98.229156,2014-03-25
"239","V",2014-03-26,311,95.530771,2014-03-26
"240","V",2014-03-27,294,103.330136,2014-03-27
"241","V",2014-03-28,161,102.717515,2014-03-28
"242","V",2014-03-29,26,96.615384,2014-03-29
"243","V",2014-03-30,3,78,2014-03-30
"244","V",2014-03-31,137,99.781167,2014-03-31
"245","V",2014-04-01,120,90.38775,2014-04-01
"246","V",2014-04-02,103,93.019805,2014-04-02
"247","V",2014-04-03,105,89.695428,2014-04-03
"248","V",2014-04-04,117,86.615641,2014-04-04
"249","V",2014-04-05,25,81.24,2014-04-05
"250","V",2014-04-06,10,73.2,2014-04-06
"251","V",2014-04-07,187,93.55909,2014-04-07
"252","V",2014-04-08,105,96.419047,2014-04-08
"253","V",2014-04-09,145,93.289724,2014-04-09
"254","V",2014-04-10,145,88.300344,2014-04-10
"255","V",2014-04-11,144,95.281597,2014-04-11
"256","V",2014-04-12,30,86.033333,2014-04-12
"257","V",2014-04-13,9,72,2014-04-13
