"","stock","Open","High","Low","Close","Volume","Adjusted","BBand_pctB","RSI","PPO","ATR","EMA3","EMA30","EMADiff","mySignal","stopPct","buysell"
"2","TNA","71.16","71.24","67.5","68.18","7937200","68.18","0.242253370436954","40.0061777050298","0.0557641887537721","2.12664523480111","70.2218671727145","73.8084462590427","-0.0485930712284671","-18.7983395831505","6.23832571076888","-"
"21","SSO","105.31","105.44","103.8","104.3","4770600","104.3","0.514534588107007","51.1376365921463","0.181930410283039","1.29268748997459","104.998066324782","103.831633440319","0.0112338874562145","2.33998089240635","2.4787871332207","-"
"3","UPRO","99.62","99.81","97.42","98.17","1536300","98.17","0.501627876463443","50.732382928289","0.270016131284745","1.81538441843161","99.2090218151706","97.7009640979418","0.0154354435614062","2.13352846394347","3.69845048065928","-"
"4","FAS","89.65","89.71","87.4","87.72","2726900","87.72","0.364827720175442","45.6238821466397","0.0974488969656611","1.83600969937782","88.9821414685688","89.6293344475676","-0.00722077189335092","-7.38347257496924","4.18606862603242","-"
"5","QLD","97.68","97.9","95.25","95.71","2651700","95.71","0.390628885755631","45.3833962436753","0.366480938671093","1.94569834425842","96.8910059513376","98.2115667346255","-0.0134460820369171","-7.54133887704448","4.06582038294519","-"
"6","ERX","105.47","106.31","103.5","104.47","197300","104.47","0.825360771056918","67.5847674458916","0.857474783643641","2.14715111201746","105.033881477422","95.0048337867621","0.105563551778535","31.8789500386952","4.11056018381825","SELL"
"7","UWM","81.23","81.34","78.51","79.1","377000","79.1","0.246550173108121","40.5792238087897","0.0481450670563357","1.60454167226175","80.6104121578155","83.1280873562047","-0.030286697053439","-16.4304975210486","4.05699537866434","-"
"8","AGQ","63.53","63.82","62.71","63.34","154100","63.34","0.393857576708024","42.8902296220016","0.134612338572079","1.13456548615947","62.884747318692","65.2145759569186","-0.0357255813449693","-11.5584465002951","3.58246127615872","-"
"9","DDM","113.55","113.67","112.11","112.63","248700","112.63","0.483323092205351","50.8667016785293","0.114555249829166","1.20094049667912","113.459649837056","112.243253959847","0.0108371401781013","1.31681758184088","2.1325410577628","-"
"10","UST","52.17","52.33","52.1","52.1","18700","52.1","0.626776153583996","53.8922457781728","-0.0308928023383032","0.176740097941645","52.0142734905005","51.8547886195015","0.00307560545987829","6.3961487192173","0.67846486733837","-"
"11","VIX","13.93","14.67","13.91","14.06","0","14.06","0.454315502827183","48.3278852264359","-0.950147100408439","0.541589258846399","13.7006625762305","14.3869297815231","-0.0477007405828818","-7.16627256778165","7.70397238757324","-"
"12","AUY","7.64","7.66","7.53","7.59","10554000","7.59","0.0712577908129616","23.6304618780565","-0.787932492630903","0.143641183378146","7.64615412719259","8.59243182796482","-0.110129206692392","-41.5086294903728","3.785011419714","-"
"13","XLK","35.99","36.08","35.67","35.75","6402000","35.75","0.312186202776123","46.6561054915937","-0.0188821474561718","0.28187489776136","35.9423435684478","35.9975818409128","-0.00153449953136124","-7.35671576503774","1.57692250495866","-"
"14","INTU","74.67","77.15","74.56","75.34","3736600","75.34","0.50239557459562","48.272484709962","0.102065285869699","0.673971748338409","74.8105556950583","75.737153380622","-0.0122343875390593","-2.45918585654393","1.78914719495198","-"
